project_id,project_name,solution_id,optimization_id,solution_status,created_at,construct_id,spec_id,spec_name,prompt_version,code_optimization_llm,num_specs_in_solution,num_runtime_measurements,metric_name,runtime_measurements,metric_count
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,195722d4-f2f7-48d2-8456-137ca57284ce,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,All,All,N/A,baseline,gpt-4-o,10,10,runtime,"199.0006541190669,197.9942994969897,197.67223497712985,198.96538392920047,199.54134230222553,198.76824430096895,197.96587273385376,199.17173670232296,200.16653366060928,199.0862477538176",10
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,50892355-0fe4-449c-bf51-1b734a4289e0,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,All,All,N/A,minimal_context,gpt-4-o,10,10,runtime,"190.35838544694707,189.4633623859845,189.18052672687918,190.29347453685477,190.41166883381084,189.20252915332094,188.96547542884946,190.30642843293026,189.65579629922286,189.10683515202254",10
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,89017985-b88f-4b9e-98ed-db9b2007a8d0,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,07df01c6-5f0e-45d4-bfae-b57f9647b356,2d801832-fe8c-47cd-a095-70ac1d9f6550,claude-v4-sonnet-5feb3,few_shot,claude,1,3,runtime,"232.25076289009303,231.82243767008185,231.88555521471426",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,c3d88729-c501-40cb-8f00-c7f5e81f3481,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,f420ff97-d634-4664-ba5c-4244a08ce956,0907b1f1-5d71-4c2d-ab20-73b99e512636,gemini-v25-pro-d2f88,few_shot,gemini,1,3,runtime,"233.8228529309854,233.459899851121,232.8525479962118",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,23e12eda-d0c9-4ea0-acce-4f11d1223c56,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,All,All,N/A,metacognitive,gpt-4-o,10,10,runtime,"190.63205135706812,190.42615597788244,190.01003381190822,190.3320359098725,189.99901005998254,190.59776559704915,190.00346373720095,190.10340846329927,189.7516783210449,190.12052504811436",10
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,321fbe9b-ee20-4fb8-823c-8e2f35e8afce,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1d7d4a95-af4e-4da1-94ad-72ed14771a6f,f121e7b2-387c-4cbb-84c8-0e3bd098c84b,gemini-v25-pro-99adf,contextual_prompting,gemini,1,3,runtime,"232.5634554377757,233.5482553797774,231.72677032276988",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,2fc7c839-9506-4115-b5d3-ec9ce74fd24d,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,fce5a4c1-0d05-49f2-a2d7-5dde3289eb29,cdf4676b-462d-4bc0-a7f0-3a6005d39515,gemini-v25-pro-45b8e,chain_of_thought,gemini,1,3,runtime,"232.04425625083968,232.675349177327,231.87953529972583",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,210cd443-e46c-4d4b-ad19-72e81359a2d1,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,07df01c6-5f0e-45d4-bfae-b57f9647b356,50181088-d548-4bd2-a994-3908bf1e9f2c,claude-v4-sonnet-2740a,no_task_context,claude,1,3,runtime,"232.74222951056436,232.3655195608735,232.27851611515507",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,22a89bee-8664-4fde-a661-ec71774920e9,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,1d7d4a95-af4e-4da1-94ad-72ed14771a6f,9ea00ae3-e3f0-4e25-b389-2b36bccc334f,claude-v4-sonnet-a2f0c,chain_of_thought,claude,1,3,runtime,"232.24396420503035,231.51742879208177,232.80478087812662",3
074babc9-86c9-48c5-ac96-4d350a36c9ad,rpcs3,308141bd-9853-41f1-b7c0-39f287ba291d,3eec1de1-2f69-429e-9b95-b362dd41fff6,SolutionStatusEnum.success,Unknown,7f69c697-1ebd-4e1c-b477-a28e42fb0e64,adefd888-fb76-4ce3-9bf3-aabed52c15b8,claude-v4-sonnet-91d53,no_project_context,claude,1,3,runtime,"229.5818219552748,229.05503396084532,229.96825954783708",3
